Rounded-full Image	Truncate	URL	Text-ellipsis	Leading-6	Leading-6	Text-current	Text-current	Leading-6	Leading-6	Flex	Text-xs	Leading-6
https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740	ab55ff39-2b01-4de9-bf54-2b246fd6b6c7	https://omni.variational.io/perpetual/ZEC	ZEC-PERP	buy	Market	$274.601	-	0.1%	No	2026-03-17	11:24:34	4.4872
https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740	304198ef-fa5c-4b01-8463-8ec6bcd6b867	https://omni.variational.io/perpetual/ZEC	ZEC-PERP	sell	Stop Loss	$270.745	$271.000	-	Yes	2026-03-17	10:25:18	
https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740	cf7a8f45-d37f-47d4-9878-a9d686097dec	https://omni.variational.io/perpetual/ZEC	ZEC-PERP	buy	Market	$277.537	-	0.5%	No	2026-03-17	10:24:48	24.1604
https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756	f253e520-a78c-476b-9c70-9491e76a49eb	https://omni.variational.io/perpetual/SOL	SOL-PERP	buy	Market	$95.6651	-	0.5%	No	2026-03-17	09:17:49	10.182
https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756	f34dba88-e958-46b8-a6cf-d871955d05a1	https://omni.variational.io/perpetual/SOL	SOL-PERP	sell	Stop Loss	$94.4524	$94.5000	-	Yes	2026-03-17	06:43:20	
https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756	4b22a0f7-fdd5-4cd3-9615-6bddb7a72604	https://omni.variational.io/perpetual/SOL	SOL-PERP	buy	Market	$96.6129	-	0.5%	No	2026-03-17	06:42:15	96.865
https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628	5dfb8973-df76-4e96-937d-2bf361ce56bc	https://omni.variational.io/perpetual/ETH	ETH-PERP	buy	Market	$2,322.96	-	0.5%	No	2026-03-17	02:55:21	4.43792
https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405	33e4c041-2d17-40e1-a691-e0eeb2e9816b	https://omni.variational.io/perpetual/LINK	LINK-PERP	buy	Market	$9.87095	-	0.5%	No	2026-03-17	02:52:27	808.23
https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442	1690874d-2ca7-4f53-9075-2617e21fa0be	https://omni.variational.io/perpetual/XRP	XRP-PERP	buy	Market	$1.53507	-	0.5%	No	2026-03-17	02:50:50	5,364.52
https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756	c7764d13-1027-4638-b7b9-a46c39f53d5d	https://omni.variational.io/perpetual/SOL	SOL-PERP	sell	Market	$93.4474	-	0.1%	Yes	2026-03-16	20:11:30	99.824
https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628	c4ff4c01-200b-463c-9453-346c18e7b4da	https://omni.variational.io/perpetual/ETH	ETH-PERP	sell	Market	$2,270.80	-	0.1%	Yes	2026-03-16	20:11:30	4.96643
https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405	e68eb8d8-e170-41a5-931b-2885ce397b6c	https://omni.variational.io/perpetual/LINK	LINK-PERP	sell	Market	$9.64308	-	0.1%	Yes	2026-03-16	19:39:18	1,031.57
